ID,Symbol,Name,Symbol Lemgth
aaptitude,aapt,AAptitude,4
aarma,arma,Aarma,4
aave,aave,Aave,4
aavegotchi,ghst,Aavegotchi,4
abachi,abi,Abachi,3
abey,abey,Abey,4
acala,aca,Acala,3
accesslauncher,acx,AccessLauncher,3
accumulate,acme,Accumulate,4
acent,ace,Acent,3
acestarter,astar,AceStarter,5
achain,act,Achain,3
acknoledger,ack,AcknoLedger,3
acoconut,ac,ACoconut,2
acoin,acoin,Acoin,5
acryptos,acs,ACryptoS,3
acryptosi,acsi,ACryptoSI,4
actifit,afit,Actifit,4
actinium,acm,Actinium,3
acumen,acm,Acumen,3
adaboy,adaboy,ADABoy,6
adacash,adacash,ADAcash,7
adadao,adao,ADADao,4
adaflect,adaflect,ADAFlect,8
adalend,adal,Adalend,4
adam,adam,ADAM,4
adamant,addy,Adamant,4
adapad,adapad,ADAPad,6
adaswap,asw,AdaSwap,3
adax,adax,ADAX,4
adbank,adb,adbank,3
adene,aden,Adene,4
adex,adx,Ambire AdEx,3
aditus,adi,Aditus,3
admonkey,admonkey,AdMonkey,8
adroverse,adr,Adroverse,3
adshares,ads,Adshares,3
aegis,ags,Aegis,3
aelf,elf,aelf,3
aelin,aelin,Aelin,5
aelysir,ael,Aelysir,3
aeon,aeon,Aeon,4
aequinox,aeq,Aequinox,3
aerdrop,aer,Aerdrop,3
aergo,aergo,Aergo,5
aerochain,aero-v2,Aerochain Coin V2,7
aeron,arnx,Aeron,4
aerotyne,atyne,Aerotyne,5
aeternity,ae,Aeternity,2
aetherius,aeth,Aetherius,4
aeur,aeur,AEUR,4
aezora,azr,Azzure,3
affinity,afnty,Affinity,5
affyn,fyn,Affyn,3
afkdao,afk,AFKDAO,3
afrep,afrep,Afrep,5
afreum,afr,Afreum,3
afrix,afx,Afrix,3
afrostar,afro,Afrostar,4
agavecoin,agvc,AgaveCoin,4
agenor,age,Agenor,3
ageofgods,aog,AgeOfGods,3
ageur,ageur,agEUR,5
agile,agl,Agile,3
agoric,bld,Agoric,3
agouti,agu,Agouti,3
agpc,agpc,AGPC,4
agrello,dlt,Agrello,3
agricoin,agn,Agricoin,3
agrinoble,agn,Agrinoble,3
agrinovuscoin,agri,AgriNovusCoin,4
agronomist,agte,Agronomist,4
aibra,abr,AIBRA,3
aichain,ait,AICHAIN,3
aicon,aico,Aicon,4
aidcoin,aid,AidCoin,3
aion,aion,Aion,4
aircoins,airx,Aircoins,4
airight,airi,aiRight,4
airpay,airpay,AirPay,6
airswap,ast,AirSwap,3
aisf,agt,AISF,3
aitra,aitra,AITRA,5
aiwork,awo,AiWork,3
ajeverse,aje,Ajeverse,3
akitavax,akitax,Akitavax,6
akoin,akn,Akoin,3
akroma,aka,Akroma,3
akropolis,akro,Akropolis,4
aktio,aktio,Aktio,5
alaya,atp,Alaya,3
alchemist,mist,Alchemist,4
alchemix,alcx,Alchemix,4
aldrin,rin,Aldrin,3
aleph,aleph,Aleph.im,5
alephium,alph,Alephium,4
alex,alex,Alex,4
alexgo,alex,ALEX Lab,4
algebra,algb,Algebra,4
algoblocks,algoblk,AlgoBlocks,7
algodao,adao,AlgoDAO,4
algodex,algx,Algodex,4
algofund,algf,AlgoFund,4
algogems,gems,AlgoGems,4
algomint,gomint,Algomint,6
algopad,algopad,AlgoPad,7
algopainter,algop,AlgoPainter,5
algoracle,gora,Goracle,4
algorand,algo,Algorand,4
algory,alg,Algory,3
algostable,stbl,AlgoStable,4
algostake,stke,AlgoStake,4
algovest,avs,AlgoVest,3
alibabacoin,abbc,ABBC,4
alicoin,alicn,Alicoin,5
alinx,alix,AlinX,4
alita,ali,Alita,3
alitas,alt,Alitas,3
alkimi,$ads,Alkimi,4
allbridge,abr,Allbridge,3
allianceblock,albt,AllianceBlock,4
allpaycoin,apcg,ALLPAYCOIN,4
allsafe,asafe,AllSafe,5
allspot,alt,Allspot,3
ally,aly,Ally,3
almond,alm,Almond,3
aloha,aloha,Aloha,5
alora,alora,Alora,5
alpaca,alpa,Alpaca City,4
alphacat,acat,Alphacat,4
alphacoin,alpha,AlphaCoin,5
alphadex,dex,AlphaDex,3
alphalink,ank,AlphaLink,3
alphr,alphr,Alphr,5
alrihla,alrihla,Alrihla,7
altair,air,Altair,3
altava,tava,ALTAVA,4
altbase,altb,Altbase,4
alter,alter,Alter,5
alternatemoney,am,AlternateMoney,2
altfins,afins,altFINS,5
altfolio,alt,altfolio,3
altimatum,$alti,Altimatum,5
altswitch,alts,AltSwitch,4
altura,alu,Altura,3
aluna,aln,Aluna,3
alyattes,alya,Alyattes,4
amasa,amas,Amasa,4
amaten,ama,Amaten,3
amateras,amt,Amateras,3
amazingdoge,adoge,AmazingDoge,5
amazingteamdao,amazingteam,AmazingTeamDAO,11
amazonacoin,amz,AmazonasCoin,3
amazy,azy,Amazy,3
amber,amb,AirDAO,3
amepay,ame,AME Chain,3
amgen,amg,Amgen,3
amis,amis,AMIS,4
amnext,amc,Amnext,3
amo,amo,AMO Coin,3
amon,amn,Amon,3
amond,amon,AmonD,4
amoveo,veo,Amoveo,3
ampleforth,ampl,Ampleforth,4
ampleswap,ample,AmpleSwap,5
amplifi,amplifi,AmpliFi,7
amplify,ampt,Amplify,4
amplitude,ampe,Amplitude,4
ampnet,aapx,AMPnet,4
anarchy,anarchy,Anarchy,7
anchorswap,anchor,AnchorSwap,6
anchorust,aust,AnchorUST,4
andronodes,andro,AndroNodes,5
anduschain,deb,Anduschain,3
angelscreed,angel,AngelsCreed,5
angryb,anb,Angryb,3
animecoin,ani,Animecoin,3
animverse,anm,Animverse,3
aniverse,anv,Aniverse,3
anji,anji,Anji,4
ankr,ankr,Ankr,4
ankreth,aethc,Ankr Reward-Bearing Staked ETH,5
annex,ann,Annex Finance,3
anon,anon,ANON,4
anonfloki,anonfloki,AnonFloki,9
anonpay,apay,AnonPay,4
anonverse,anon,Anonverse,4
anonydoxx,adxx,AnonyDoxx,4
answerly,ansr,Answerly,4
antalyaspor,akrep,Antalyaspor,5
antedao,ante,AnteDAO,4
antex,antex,Antex,5
antgold,antg,AntGold,4
antiample,xamp,Antiample,4
antimatter,matter,AntiMatter,6
antra,antr,Antra,4
anypad,apad,Anypad,4
anyswap,any,Anyswap,3
aok,aok,AOK,3
aos,aos,AOS,3
apch,apch,APCH,4
ape,ape,APE,3
apecoin,ape,ApeCoin,3
apefund,apefund,ApeFund,7
apegrow,apegrow,ApeGrow,7
apejet,jet,ApeJet,3
apelab,ape,ApeLab,3
apemove,ape,APEmove,3
apenft,nft,APENFT,3
apeparkdao,apd,ApeParkDAO,3
apeusd,apeusd,ApeUSD,6
apidae,apt,Apidae,3
apix,apix,APIX,4
apocalypse,apoc,Apocalypse,4
apollo,apl,Apollo,3
apollofi,apo,ApolloFi,3
appcoins,appc,AppCoins,4
appics,apx,Appics,3
apple,apple,Apple,5
applepye,applepye,APPLEPYE,8
appleswap,apple,AppleSwap,5
apricot,aprt,Apricot,4
april,april,April,5
apron,apn,Apron,3
aptos,apt,Aptos,3
apwine,apw,APWine,3
apyswap,apys,APYSwap,4
aquachain,aqua,Aquachain,4
aquanee,aqdc,Aquanee,4
aquari,aquari,Aquari,6
aquarius,aqua,Aquarius,4
aquariuscoin,arco,AquariusCoin,4
aquatank,aqua,AquaTank,4
arabic,abic,Arabic,4
aragon,ant,Aragon,3
arata,arata,Arata,5
arbidex,abx,Arbidex,3
arbidoge,adoge,ArbiDoge,5
arbinyan,nyan,ArbiNYAN,4
arbucks,buck,Arbucks,4
arbys,arbys,Arbys,5
arc,arc,Arc,3
arcade,arc,Arcade,3
arcadenetwork,arc,ArcadeNetwork,3
arcaneleague,arcaneleague,ArcaneLeague,12
arcblock,abt,Arcblock,3
arcc,arcc,ARCC,4
archethic,uco,Archethic,3
arcona,arcona,Arcona,6
arcs,arx,ARCS,3
arcticcoin,arc,Advanced Technology Coin,3
ardana,dana,Ardana,4
ardcoin,ardx,ArdCoin,4
ardor,ardr,Ardor,4
arenaplay,apc,ArenaPlay,3
arenum,arn,Arenum,3
argo,argo,ArGoApp,4
argon,argon,Argon,5
ariadne,ardn,Ariadne,4
arianee,aria20,Arianee,6
arion,arion,Arion,5
arionum,aro,Arionum,3
ariva,arv,Ariva,3
arix,arix,Arix,4
arize,arz,ARize,3
ark,ark,Ark,3
arkarus,aks,Arkarus,3
arkworld,akw,ArkWorld,3
armada,armd,Armada,4
armor,armor,ARMOR,5
arqma,arq,ArQmA,3
arrow,arw,Arrow,3
artax,xax,ARTAX,3
artbyte,aby,ArtByte,3
artcoin,ac,ArtCoin,2
arte,arte,ARTE,4
artem,artem,Artem,5
artemis,mis,Artemis,3
artery,artr,Artery,4
arth,arth,ARTH,4
arthswap,arsw,ArthSwap,4
articoin,atc,ArtiCoin,3
artik,artk,Artik,4
artizen,atnt,Artizen,4
artkit,arti,ArtKit,4
artl,artl,ARTL,4
artm,artm,ARTM,4
artmeta,$mart,ArtMeta,5
artonline,art,ArtOnline,3
artrade,atr,Artrade,3
artube,att,Artube,3
artx,artx,ARTX,4
arweave,ar,Arweave,2
aryacoin,aya,Aryacoin,3
